model,class_name,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hd95_mm_mean,hd95_mm_std,asd_mm_mean,asd_mm_std,nsd_mean,nsd_std,boundary_error_mm_mean,boundary_error_mm_std,rvd_mean,rvd_std,ravd_mean,ravd_std
guidedF2,pancreas,0.838506315535436,0.10530827744157133,0.7317431806039522,0.11210116923538233,0.8766311957131372,0.09700503483140119,0.8090709470492731,0.11905665018596565,0.838506315535436,0.10530827744157133,6.329052818240199,8.692773596022013,1.504875954787004,3.6192652257726388,0.6546569109234334,0.10104348230726325,1.504875954787004,3.6192652257726388,-0.0808115623299295,0.11510346255006455,0.09977457191759513,0.09892784797378086
guidedF2,tumor,0.8560588792745376,0.06665913901199685,0.7534101336752503,0.08853072379658596,0.8450672291294269,0.08101418873288217,0.8793816597697355,0.08725806103437937,0.8560588792745376,0.06665913901199685,4.361584773347134,9.73315663059383,0.9263680488081509,2.16284923448187,0.7061719472600928,0.09331789113521889,0.9263680488081509,2.16284923448187,0.05966494284524004,0.2321027972641736,0.12394945463542915,0.20478876220812103
new_fold0,pancreas,0.8096694600020988,0.06807430218728773,0.6853714045562019,0.09161552469758058,0.7562334892552248,0.09453583698268862,0.8810745626614569,0.06882831886611854,0.8096694600020988,0.06807430218728773,9.294145276532896,14.450051046618098,1.7889507065314845,2.0383317815010322,0.6176604944536875,0.07359859108633757,1.7889507065314845,2.0383317815010322,0.18539398440967297,0.19540780845622666,0.20006864529979893,0.18018190397879932
new_fold0,tumor,0.7722734916544277,0.11955362203087663,0.6408082807305804,0.12479190706632226,0.846001298414425,0.12644570015414902,0.7312272221439283,0.15332272749720344,0.7722734916544277,0.11955362203087663,10.288503148829042,26.59497448197536,2.5482922758776865,6.775940151426807,0.5865326466417354,0.11593311335070511,2.5482922758776865,6.775940151426807,-0.1257190121559903,0.2323849023534365,0.2048718468136648,0.16597586437355102
new_fold1,pancreas,0.8210625068121794,0.06329646696020813,0.7009945078250245,0.08596258701664047,0.8124642806507844,0.07672223283305885,0.8348758828469611,0.0760620906045879,0.8210625068121794,0.06329646696020813,6.929914200360956,9.705054714297342,1.3500725118552495,1.200033801853186,0.6338673555275851,0.07387613202875538,1.3500725118552495,1.200033801853186,0.03453248117970947,0.11892522333926256,0.08982555792668324,0.08480276046944837
new_fold1,tumor,0.7551711692389217,0.16140364579300914,0.6261162571386907,0.15467880453826283,0.7470173109544547,0.17112748052987176,0.7996145344943343,0.20458786018746206,0.7551711692389217,0.16140364579300914,10.72600713866095,24.005916227872845,2.859097385728229,6.586775882073527,0.5818152148660097,0.14193896160180236,2.859097385728229,6.586775882073527,0.08335561871917099,0.3424605687901766,0.27346017474805184,0.22068421601210436
new_fold2,pancreas,0.8335531531469048,0.06131088689341741,0.7190050387115036,0.08476186212217746,0.8605888206725555,0.058081970505662335,0.8129734719203675,0.08470284730425466,0.8335531531469048,0.06131088689341741,6.527048628552016,7.71120664872669,1.373819246654809,1.8782260628504366,0.6453474122177908,0.07547708084755755,1.373819246654809,1.8782260628504366,-0.05285622293228448,0.10383789849391295,0.08621017572860144,0.07805718085906822
new_fold2,tumor,0.8076352441732564,0.07288927669305678,0.6829423207873859,0.09308722271354915,0.8237284039694547,0.10935763686471102,0.8142797166647608,0.10587847123146346,0.8076352441732564,0.07288927669305678,4.217149020529703,2.6917998950309845,1.0246639829989028,0.7028785241537976,0.6268310151415853,0.08184798937721484,1.0246639829989028,0.7028785241537976,0.02276068188768838,0.28810612793930357,0.18425625656662425,0.2218229775890396
old_fold0,pancreas,0.8267439862534147,0.0823321237008322,0.7115176042497297,0.10023061548158792,0.8347827450388224,0.09339513681991271,0.8250737361278658,0.08316768704290779,0.8267439862534147,0.0823321237008322,6.815325844850444,11.1020658834434,1.370422162881571,1.943215467497863,0.6430796125728478,0.08312063746370553,1.370422162881571,1.943215467497863,0.006496561285592491,0.20363158342122775,0.09055668742074088,0.1822576793956489
old_fold0,tumor,0.7598322008312645,0.1592109239949223,0.6315859823480424,0.15132558752898276,0.8692263279882829,0.16235476948351843,0.6876023025763957,0.1697438909542934,0.7598322008312645,0.1592109239949223,8.944261031769747,22.4250921820719,2.4186865406039857,7.167679954269318,0.5763157321774912,0.13431350678717474,2.4186865406039857,7.167679954269318,-0.21007046407511046,0.19361518421377533,0.227867502261683,0.17206740688001632
old_fold1,pancreas,0.8196279808904935,0.09066739753550536,0.7028947856641331,0.11278602457467905,0.7994442356370779,0.1136879477902789,0.8486194432244404,0.07746611175356695,0.8196279808904935,0.09066739753550536,8.991629526127397,19.066635349125622,1.7811028476518627,3.111133361603837,0.6419474130964474,0.0808140299676563,1.7811028476518627,3.111133361603837,0.08394277587440294,0.20137971126418835,0.12078171521599121,0.18146370907958168
old_fold1,tumor,0.8133990122324842,0.13054745818787575,0.7009931937838872,0.14413103932950003,0.8207186459237422,0.14078606446460265,0.831552416514077,0.12149986577880058,0.8133990122324842,0.13054745818787575,9.313850728862102,26.66550201316814,2.8229052993748085,11.959222025354046,0.653896781138607,0.12025262484028429,2.8229052993748085,11.959222025354046,0.1560547519525018,1.1689388324422663,0.27985564061912205,1.1453640757472412
old_fold2,pancreas,0.8389737805601658,0.10543438059414395,0.7324724897393609,0.11233521019308902,0.876063919006116,0.09753158897627161,0.8104352917291829,0.11897775420306148,0.8389737805601658,0.10543438059414395,6.252874874992551,8.470924633746915,1.4901439193682444,3.60949150551271,0.6558901230812265,0.10083063055928253,1.4901439193682444,3.60949150551271,-0.07852655646962436,0.1156272372329944,0.09883611102766081,0.09863020367862717
